tool		gps 	gps 	gps 	gps 
run set		SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP
../suite1-svcomp/		status	cputime (s)	walltime (s)	memory (MB)
loops-crafted-1/net_reset.yml	true	true	0.289239	0.2566949489992112	59.195392
loops-crafted-1/sum_by_3.yml	true	true	0.137941	0.13863280299847247	54.697984
loops-crafted-1/sum_by_3_abstracted.yml	true	true	0.141445	0.13093974700313993	54.669312
loops-crafted-1/sumt2.yml	true	true	0.181677	0.17905619599332567	54.693888
loops-crafted-1/sumt3.yml	true	true	0.168439	0.16367630699824076	54.247424
loops-crafted-1/sumt4.yml	true	true	0.204888	0.20679987400217215	54.759424
loops-crafted-1/sumt5.yml	true	true	0.244935	0.23398517800524132	54.665216
loops-crafted-1/sumt6.yml	true	true	0.432586	0.4248557169994456	54.448128
loops-crafted-1/sumt7.yml	true	true	0.388827	0.38393294799607247	54.497280
loops-crafted-1/sumt8.yml	true	true	0.499193	0.4967684069997631	55.463936
loops-crafted-1/sumt9.yml	true	true	0.731774	0.7255537930032006	57.622528
loops-crafted-1/theatreSquare.yml	true	KILLED	19.344138	19.326190525003767	6671.446016
loops-crafted-1/vnew1.yml	true	true	0.178778	0.18804650200036122	93.417472
loops-crafted-1/vnew2.yml	true	true	0.160714	0.1516921389993513	54.448128
loops-crafted-1/watermelon.yml	true	true	0.245225	0.2210984479970648	54.542336
loop-simple/deep-nested.yml	false	KILLED	207.657992	207.69963310100138	6606.348288
loop-simple/nested_1.yml	true	true	0.12962	0.12510832699626917	54.181888
loop-simple/nested_1b.yml	false	false	0.140064	0.13860606600064784	54.206464
loop-simple/nested_2.yml	true	true	0.135925	0.130659384005412	54.517760
loop-simple/nested_3.yml	true	true	0.149367	0.1474129010020988	54.792192
loop-simple/nested_4.yml	true	true	0.158119	0.15231594700162532	55.037952
loop-simple/nested_5.yml	true	true	0.172069	0.16708833599841455	54.734848
loop-simple/nested_6.yml	true	true	0.211902	0.20544282699847827	54.730752
loop-zilu/benchmark02_linear.yml	true	true	0.128892	0.13366891799523728	54.448128
loop-zilu/benchmark02_linear_abstracted.yml	true	true	0.123141	0.11870874599844683	54.464512
loop-zilu/benchmark04_conjunctive.yml	true	true	0.126651	0.12542864600254688	54.730752
loop-zilu/benchmark05_conjunctive.yml	true	true	0.148616	0.14386486299918033	54.661120
loop-zilu/benchmark09_conjunctive.yml	true	true	0.130049	0.13058748999901582	54.726656
loop-zilu/benchmark10_conjunctive.yml	true	true	0.13251	0.11712197000451852	54.484992
loop-zilu/benchmark11_linear.yml	true	true	0.127409	0.1249169040020206	54.468608
loop-zilu/benchmark11_linear_abstracted.yml	true	true	0.127872	0.13398787699406967	54.280192
loop-zilu/benchmark14_linear.yml	true	true	0.130093	0.12207909100106917	54.468608
loop-zilu/benchmark17_conjunctive.yml	true	true	0.12822	0.1224951210024301	54.706176
loop-zilu/benchmark18_conjunctive.yml	true	true	0.128656	0.12889691299642436	54.767616
loop-zilu/benchmark19_conjunctive.yml	true	true	0.129735	0.12828375700337347	54.722560
loop-zilu/benchmark20_conjunctive.yml	true	true	0.135053	0.1340751719981199	54.472704
loop-zilu/benchmark23_conjunctive.yml	true	true	0.12849	0.12283385200134944	54.693888
loop-zilu/benchmark25_linear.yml	true	true	0.125457	0.12468089100002544	54.693888
loop-zilu/benchmark25_linear_abstracted.yml	true	true	0.124827	0.11914870500186225	54.980608
loop-zilu/benchmark26_linear.yml	true	true	0.129325	0.12488844199833693	54.394880
loop-zilu/benchmark26_linear_abstracted.yml	true	true	0.132166	0.13664704199618427	54.472704
loop-zilu/benchmark32_linear.yml	true	true	0.369694	0.3806307220002054	97.013760
loop-zilu/benchmark33_linear.yml	true	true	0.127482	0.12433757600229	54.452224
loop-zilu/benchmark34_conjunctive.yml	true	true	0.130821	0.12868130800052313	54.452224
loop-zilu/benchmark35_linear.yml	true	true	0.126308	0.12696592500287807	54.751232
loop-zilu/benchmark37_conjunctive.yml	true	true	0.12665	0.12271990499721142	54.169600
loop-zilu/benchmark43_conjunctive.yml	true	true	0.12974	0.12627455099573126	54.456320
loop-zilu/benchmark43_conjunctive_abstracted.yml	true	true	0.13024	0.12789588400482899	54.263808
loop-zilu/benchmark51_polynomial.yml	true	true	0.140913	0.13726777199917706	54.583296
